date,version,binary_bytes,render_frame_ns,render_sprites_ns,fixed_mul_ns,texture_get_col_ns,pcache_hit_ns
2026-04-08,0.11.0,107632,2.201ms,2.822ms,435ns,1us,479ns
2026-04-10,0.17.2,131120,4.324ms,4.609ms,664ns,2us,754ns
2026-04-10,0.17.2,129096,4.79ms,4.871ms,8ns,1us,17ns
2026-04-20,0.26.0,259920,2.16ms,2.34ms,4ns,786ns,9ns
2026-05-21,0.27.1,585224,2.146ms,2.141ms,7ns,761ns,8ns
2026-05-21,0.27.2,585224,2.114ms,2.127ms,6ns,730ns,7ns
2026-05-21,0.27.3,587752,2.132ms,2.136ms,6ns,749ns,8ns
2026-06-07,0.27.5,590824,2.10ms,2.12ms,6ns,690ns,7ns
2026-06-07,0.28.0,592456,1.78ms,1.78ms,6ns,685ns,7ns
2026-06-10,0.28.3,597368,2.594ms,2.572ms,6ns,730ns,7ns
2026-06-10,0.28.4,597608,2.486ms,2.494ms,6ns,725ns,8ns
2026-06-10,0.28.4,600848,2.520ms,2.502ms,6ns,734ns,8ns
2026-06-11,0.29.1,601568,2.557ms,2.526ms,6ns,704ns,8ns
2026-06-12,0.29.2,601616,2.492ms,2.501ms,6ns,702ns,7ns
2026-06-12,0.29.2,601936,2.471ms,2.474ms,6ns,706ns,7ns
2026-06-12,0.29.3,601936,2.451ms,2.452ms,7ns,690ns,7ns
2026-06-13,0.30.0,608344,3.10ms,3.38ms,6ns,705ns,7ns
2026-06-13,0.30.0,608344,3.100ms,3.103ms,6ns,728ns,8ns
2026-06-13,0.30.1,610576,2.957ms,2.952ms,6ns,698ns,8ns
2026-06-29,0.30.4,613720,2.971ms,2.979ms,6ns,709ns,7ns
2026-06-29,0.30.4,617360,3.031ms,3.036ms,6ns,759ns,8ns
2026-06-29,0.30.4,619112,3.083ms,2.977ms,6ns,724ns,8ns
2026-06-29,0.30.5,619224,3.082ms,3.056ms,6ns,752ns,8ns
2026-06-29,0.30.6,621080,2.950ms,2.958ms,6ns,706ns,8ns
2026-06-29,0.30.6,623520,2.956ms,2.980ms,6ns,733ns,8ns
2026-07-04,0.31.2,554352,2.858ms,2.862ms,6ns,667ns,7ns
2026-07-04,0.31.2,558448,2.856ms,2.848ms,6ns,681ns,8ns
2026-07-04,0.31.3,558456,2.952ms,2.952ms,6ns,687ns,7ns
2026-07-04,0.31.4,566928,2.870ms,2.874ms,6ns,678ns,7ns
2026-07-08,0.32.0,379664,3.049ms,3.045ms,6ns,727ns,7ns
2026-07-08,0.32.0,383896,3.075ms,3.050ms,7ns,799ns,7ns
2026-07-08,0.32.0,383968,2.351ms,2.346ms,6ns,724ns,7ns
2026-07-08,0.32.0,388056,2.382ms,2.366ms,6ns,731ns,7ns
2026-07-08,0.32.0,388128,2.356ms,2.359ms,6ns,727ns,7ns
2026-07-08,0.32.0,388144,2.361ms,2.370ms,6ns,716ns,7ns
2026-07-08,0.32.0,392280,2.455ms,2.440ms,6ns,895ns,7ns
2026-07-08,0.32.1,392304,2.429ms,2.437ms,7ns,888ns,7ns
2026-07-09,0.33.0,418224,2.469ms,2.466ms,6ns,898ns,7ns
2026-07-10,0.33.1,426496,2.349ms,2.345ms,6ns,893ns,7ns
2026-07-12,0.33.3,439192,2.306ms,2.426ms,6ns,851ns,7ns
2026-07-12,0.33.4,439208,2.425ms,2.431ms,6ns,882ns,7ns
2026-07-12,0.33.5,443320,2.347ms,2.367ms,6ns,851ns,7ns
